card_id,korean,vietnamese
"1","에아건","máy lạnh"
"2","책","sách"
"3","우리","chúng ta/chúng tôi"
"4","시계","đồng hồ"
"5","계란","quả trứng"
"6","자다","ngủ"
"7","공부하다","học (chung chung)"
"8","일하다","làm việc"
"9","운동하다","tập thể dục"
"10","숙제를 하다","làm bài tập"
"11","옷을 사다","mua đồ"
"12","친구를 만나다","gặp bạn"
"13","태권도를 배우다","học taekwondo"
"14","밥을 먹다","ăn cơm"
"15","커피를 마시다","uống cafe"
"16","책을 읽다","đọc sách"
"17","영화를 보다","xem phim"
"18","여러분","mọi người"
"19","직업","nghề nghiệp"
"20","무엇","cái gì, gì"
"21","이름","tên"
"22","전화번호","số điện thoại"
"23","직업은 무엇이에요?","Nghề nghiệp là gì?"
"24","명함","danh thiếp"
"25","국적","quốc tịch"
"26","독일","Đức"
"27","중국","Trung Quốc"
"28","캐나다","Canada"
"29","미국","Mỹ"
"30","프랑스","Pháp"
"31","인도","Ấn Độ"
"32","일본","Nhật"
"33","호주","Úc"
"34","파키스탄","Pakistan"
"35","가수","ca sĩ"
"36","교인","giáo nhân"
"37","기자","ký giả"
"38","주부","nội trợ"
"39","요리사","đầu bếp"
"40","의사","bác sĩ"
"41","학생","học sinh"
"42","N입니다","Là N (kính ngữ người nghe)"
"43","만나서 반갑습니다","Rất vui được gặp bạn"
"44","안녕하십니까?","Bạn khỏe không?"
"45","영어","Tiếng Anh"
"46","지금","bây giờ"
"47","오늘","hôm nay"
"48","하다","làm"
"49","쉬다","nghỉ ngơi"
"50","아르바이트 하다","làm thêm (part-time)"
"51","피자","pizza"
"52","요리","món ăn, nấu ăn"
"53","한국어를 공부해요","học tiếng Hàn"
"54","책상","cái bàn"
"55","볼펜","bút bi"
"56","시계","đồng hồ"
"57","사전","từ điển"
"58","연필","bút chì"
"59","모자","cái nón"
"60","안경","mắt kính"
"61","자방","cái cặp"
"62","우산","cây dù"
"63","휴대폰","điện thoại"
"64","지우개","cục tẩy"
"65","카메라","máy chụp ảnh"
"66","차","xe ô tô/tàu"
"67","친구","bạn bè"
"68","남자","con trai"
"69","여자","con gái"
"70","여자 친구","bạn gái"
"71","동전","đồng xu"
"72","신문","tờ báo"
"73","자","cây thước"
"74","N이/가 있어요","có"
"75","N이/가 없어요","không có"
"76","이거","cái này (gần người nói)"
"77","그거","cái đó (xa người nói, gần người nghe)"
"78","저거","cái kia (xa người nói và người nghe)"
"79","창문","cửa sổ"
"80","지도","bản đồ"
"81","필통","hộp bút"
"82","전자사전","từ điển điện tử"
"83","무엇","cái gì"
"84","잡지","tạp chí"
"85","지갑","cái ví"
"86","N 주세요","đưa cho cái gì đó"
"87","N 좀 주세요","đưa cho cái gì đó (lịch sự)"
"88","여기 있어요","có đây này"
"89","잘 모르겠어요","tôi cũng không biết nữa"
"90","N1 하고 N2","và (dùng trong văn viết)"
"91","와/과","và"
"92","콜라","Coca"
"93","주스","nước ép"
"94","물","nước"
"95","교통카드","thẻ giao thông"
"96","휴지","khăn giấy"
"97","어서 오세요","xin mời vào"
"98","사과","trái táo"
"99","오렌지","trái cam"
"100","영화","phim (lẻ)"
"101","텔레비전","tivi"
"102","도서관","thư viện"
"103","학교","trường học"
"104","집","nhà"
"105","식당","nhà hàng"
"106","회사","công ty"
"107","시장","chợ"
"108","공원","công viên"
"109","커피숍","quán cafe"
"110","극장","rạp chiếu phim"
"111","겅화","sữa"
"112","바나나","chuối"
"113","딸기","dâu tây"
"114","백화점","trung tâm thương mại"
"115","어제","hôm qua"
"116","카드","cards"
"117","선물","quà"
"118","세수하다","rửa mặt"
"119","이를 닦다","đánh răng"
"120","배우다","học"
"121","역","ga"
"122","산책하다","đi dạo"
"123","찍다","chụp hình"
"124","누구","ai (who?)"
"125","혼자","một mình"
"126","동료","đồng nghiệp"
"127","카페","quán cafe"
"128","누구하고 같이","đi với ai"
"129","이/가 끝나다","xong, kết thúc"
"130","무슨","gì"
"131","뭐","gì, cái gì"
"132","원","won (tiền Hàn)"
"133","그래서","vì vậy (so, therefore)"
"134","내일","ngày mai"
"135","지난주","tuần trước"
"136","말","cuối tuần trước"
"137","년","năm"
"138","년전","năm trước"
"139","작년 [상년]","năm ngoái"
"140","백","100"
"141","천","1000"
"142","스케줄","lịch trình (schedule)"
"143","양력 [양녁]","dương lịch"
"144","음력 [음녁]","âm lịch"
"145","설날 [서랄]","Tết âm"
"146","세배를 하다","chúc Tết"
"147","떡국","canh bánh gạo"
"148","추석","Trung thu"
"149","차례를 지내다","cúng bái tổ tiên"
"150","송편","bánh trung thu Hàn"
"151","명절","ngày lễ"
"152","이해가 자절 안 되요!","Không hiểu!"
"153","안 돼요","Không được"
"154","갈비탕","canh sườn"
"155","김치","kim chi"
"156","김치찌개","canh kim chi"
"157","냉면","mì lạnh"
"158","라면","mì tôm"
"159","미역국","canh rong biển"
"160","불고기","thịt bò xào"
"161","비빔밥","cơm trộn"
"162","샌드위치","sandwich"
"163","스파게티","mì ý"
"164","피자","pizza"
"165","햄버거","hamburger"
"166","콜","quả quýt"
"167","딸기","quả dâu tây"
"168","사과","quả táo"
"169","수박","dưa hấu"
"170","만","10 nghìn = 1 vạn"
"171","얼마예요?","bao nhiêu tiền?"
"172","V으세요","Hãy [làm gì]"
"173","세요","Hãy làm"
"174","오세요","Hãy đến!"
"175","앉다","Ngồi"
"176","여기 앉으세요","Hãy ngồi ở đây!"
"177","어서 오세요","Hãy vào/Mời vào"
"178","잠깐만","1 chút (thời gian)"
"179","기다리다","đợi, chờ"
"180","빵","bánh mì"
"181","아이스크림","kem"
"182","녹차","trà xanh"
"183","주다","cho"
"184","잠깐만 기다리세요","Hãy đợi tôi 1 chút"
"185","개","cái,quả, cây, gói"
"186","병","bình,chai, lọ"
"187","잔","ly"
"188","그릇","tô, chén"
"189","비빔밥 두그릇 좀 주세요","Đưa tôi 2 tô cơm trộn"
"190","N + 좀 주세요","làm ơn đưa"
"191","메뉴","menu"
"192","조아하다","thích"
"193","우동","mì udon"
"194","맥주","bia"
"195","소주","soju"
"196","명","người (đơn vị)"
"197","몇명입니까?","Mấy người?"
"198","여기요","Em ơi/Anh/Chị ơi (kêu tính tiền)"
"199","주문하다","gọi món (order)"
"200","손님","khách hàng"
"201","현금","tiền mặt/hiện kim"
"202","계산하다","thanh toán"
"203","N으로/로","bằng phương tiện"
"204","샐러드","salad"
"205","짜장면","mì tương"
"206","짬뽕","mì hải sản"
"207","탕수육","sườn xào chua ngọt (thịt xào chua ngọt)"
"208","만두","mandu (há cảo)"
"209","초밥","sushi"
"210","돈가스","cơm thịt rán tẩm bột chiên xù"
"211","튀김","tempura,đồ chiên"
"212","그래요?","vậy hả? (really?)"
"213","맛있다","ngon (món ăn)"
"214","좋다","tốt, hay"
"215","싸다","rẻ"
"216","복잡하다","phức tạp (rất đông và đông đúc)"
"217","길","con đường (tên + đường)"
"218","노래","bài hát"
"219","쌀국수","phở"
"220","바지","cái quần"
"221","운동화","giày thể thao"
"222","N도","cũng (thay từ 는,은)"
"223","뭐가 맛있어요?","Cái gì ngon?"
"224","아저씨","chú"
"225","모두","tất cả"
"226","모두 맛있어요","tất cả đều ngon"
"227","오랜지","cam"
"228","또","lại (again)"
"229","또 오세요","lại đến nữa nhé"
"230","배","quả lê"
"231","키위","kiwi"
"232","파인애플","quả dứa"
"233","멜론","quả dưa lưới"
"234","박스","box"
"235","아주머니","dì ơi"
"236","슈퍼","siêu thị (supper)"
"237","킬로그램","kilogram"
"238","달걀","trứng (trứng sống)"
"239","마트","siêu thị (mart)"
"240","과자","bánh kẹo"
"241","케이크","bánh (cake)"
"242","아이스커피","cafe đá"
"243","에스프레소","espresso"
"244","밀크커피","cafe sữa"
"245","아침","buổi sáng / bữa sáng"
"246","점심","buổi trưa / bữa trưa"
"247","저녁","buổi tối / bữa tối"
"248","가격","giá cả"
"249","급","cấp (level)"
"250","물건","đồ vật"
"251","요팔다","bán hàng"
"252","인치","inch"
"253","아주","rất (very, nghĩa tốt)"
"254","리모컨","remote"
"255","깨끗하다","sạch sẽ (thời tiết trong xanh + bầu trời)"
"256","많이","many (nhiều)"
"257","권","cuốn (sách)"
"258","전화하다","điện thoại (v)"
"259","비싸다","đắt"
"260","너무","rất (nghĩa xấu)"
"261","깎아주다","giảm giá cho tôi"
"262","좀 깎아주다","giảm giá chút cho tôi"
"263","백김치","bạch kim chi (ko bỏ ớt)"
"264","깍두기","kim chi củ cải (vuông)"
"265","오이김치","kim chi dưa leo"
"266","물김치","kim chi nước"
"267","N들","các N (số nhiều)"
"268","이런 + N","N loại này / kiểu này"
"269","어떤 + N","N như nào?"
"270","북음밥","cơm chiên"
"271","어떻게","How"
"272","김치전","kim chi trộn bột chiên (bánh kim chi)"
"273","괜찮다","ổn (tính từ)"
"274","좋다 - 좋아하다","thích"
"275","싫다 - 싫어하다","ghét"
"276","모자","nón"
"277","아무것도","cái gì cũng + phủ định: ko làm gì"
"278","보통","bình thường (N), đếm được, tần suất (casual)"
"279","그냥","bình thường, cũng được, ko muốn nói rõ ra"
"280","알겠습니다","ý chí"
"281","흐리다","âm u (thời tiết)"
"282","맑다","quang đãng"
"283","덥다 → 더워요","nóng"
"284","춥다 → 추워요","lạnh"
"285","따뜻하다","ấm áp"
"286","시원하다","mát mẻ (dùng mùa hè)"
"287","비가 오다","trời mưa"
"288","눈이 오다","tuyết rơi"
"289","봄","mùa xuân"
"290","여름","mùa hè"
"291","가을","mùa thu"
"292","겨울","mùa đông"
"293","계절","mùa"
"294","쉽다 → 쉬워요","dễ"
"295","어렵다 → 어려워요","khó"
"296","맵다 → 매워요","cay (đồ ăn)"
"297","가볍다 → 가벼워요","nhẹ"
"298","무겁다 → 무거워요","nặng"
"299","날씨","thời tiết"
"300","어때요?","như thế nào?"
"301","A/N 지만","A/N nhưng (clause)"
"302","재미있다","thú vị"
"303","재미없어요","ko thú vị"
"304","동생","em (sibling)"
"305","떡볶이","bánh gạo cay"
"306","도쿄","Tokyo"
"307","초심해서 오다","về cẩn thận (nói cho người về)"
"308","초심해서 가다","về cẩn thận(nói cho người đi)"
"309","런던","London"
"310","싱가포르","Singapore"
"311","모스크바","Moscova"
"312","파리","Paris"
"313","베이징","Beijing (Bắc Kinh)"
"314","뉴욕","New York"
"315","시드니","Sydney"
"316","홍콩","Hong Kong"
"317","두바이","Dubai"
"318","그래요","vậy đó hả?"
"319","어떻다","thế nào"
"320","비가 오다","trời mưa"
"321","시원하다","mát mẻ"
"322","맛다","ngon"
"323","A/V 고","và (động từ/tính từ bổ trợ)"
"324","요즘","dạo này"
"325","쉬는 시간","thời gian nghỉ ngơi (break time)"
"326","이야기하다","nói chuyện"
"327","우리반들","bạn"
"328","고향","quê hương"
"329","스키장","sân trượt tuyết"
"330","사람들","mọi người"
"331","어려분 고향은","Quê họ mọi thời tiết ntn?"
"332","단풍","lá đỏ (lá phong)"
"333","수영장","hồ bơi"
"334","꽃","hoa"
"335","바다","biển"
"336","생선","cá"
"337","작년","năm ngoái"
"338","브라질","Brazil"
"339","항상","always (luôn luôn)"
"340","처음","lần đầu tiên"
"341","하늘","bầu trời"
"342","만들다","make (làm)"
"343","태국","Thailand"
"344","망고","mango"
"345","선글라스","sunglass"
"346","부채","quạt cầm tay (quạt giấy)"
"347","슬리퍼","slipper (dép)"
"348","삼계탕","canh gà hầm (món ăn mùa hè)"
"349","앞문 [암문]","cửa trước"
"350","골프","golf"
"351","테니스","tennis"
"352","당구","bi da"
"353","피아노","piano"
"354","기타","guitar"
"355","자전거","xe đạp"
"356","스키","trượt tuyết"
"357","스케이트","trượt băng (đi trên mặt băng)"
"358","게임","game"
"359","농구","bóng rổ"
"360","축구","bóng đá"
"361","치다","đánh (môn thể thao có dụng cụ)"
"362","타다","cưỡi,đi (các loại phương tiện)"
"363","V을/ㄹ까요?","ko chia kính ngữ (nhé,nhỉ, rủ rê)"
"364","걷다 → 걸어요","đi bộ"
"365","묻다 → 물어요","hỏi"
"366","듣다 → 들어요","nghe"
"367","음악","âm nhạc"
"368","뉴스","news"
"369","라디오","radio"
"370","잘","tốt,giỏi"
"371","생활","sinh hoạt,cuộc sống"
"372","조금","một chút, một ít"
"373","심심하다","chán"
"374","강","sông"
"375","그런데","nhưng mà (nối 2 câu)"
"376","어때요","dùng tính chất"
"377","어떻게","như thế nào + V"
"378","가깝다","gần"
"379","산","núi"
"380","시청","tòa thị chính"
"381","낮잠을 자다","ngủ trưa"
"382","등산을 하다","leo núi"
"383","산책을 하다","đi dạo"
"384","여행을 하다","du lịch"
"385","노래방에 가다","đi karaoke"
"386","찜질방에 가다","đi phòng xông hơi"
"387","이/그/저 + N","N này/ đó/ kia"
"388","새해 복 많이 받으세요","chúc mừng năm mới"
"389","A/N 네요","quá A/N (cảm thán)"
"390","정말","thực sự"
"391","피곤하다","mệt"
"392","자주","thường xuyên"
"393","다음","lần tới"
"394","또","lại"
"395","좀/조금","một chút"
"396","크다","to,lớn"
"397","수업","tiết học"
"398","오후","buổi chiều"
"399","오전","buổi sáng"
"400","받다 → 받아요","nhận"
"401","일번","số 1"
"402","한번","1 lần"
"403","이야기하다","nói chuyện"
"404","보통","bình thường"
"405","미팅","meeting"
"406","소개하다","giới thiệu"
"407","소개팅","blind date"
"408","웃어른","người lớn"
"409","선을보다","xem mắt"
"410","지하철","tàu điện ngầm"
"411","초콜릿","chocolate"
"412","칠판","cái bảng"
"413","휴지","khăn giấy"
"414","말레이시아","Malaysia"
"415","목도리","khăn quàng cổ"
"416","코트","áo khoác"
"417","장갑","bao tay"
"418","수영복","đồ bơi"
"419","여것","cái đó (xa người nói, gần người nghe)"
"420","가족","gia đình"
"421","누나","chị (con trai gọi)"
"422","할머니","bà (bà nội)"
"423","할아버지","ông"
"424","어머니","mẹ"
"425","아버지","ba"
"426","형","anh (con trai gọi)"
"427","언니","chị (con gái gọi)"
"428","오빠","anh (con gái gọi)"
"429","여동생","em gái"
"430","남동생","em trai"
"431","남편","chồng"
"432","아내","vợ"
"433","아들","con trai"
"434","딸","con gái"
"435","운전","lái xe (xe chung chung)"
"436","운전하다","lái xe (động từ)"
"437","수학","số học / toán"
"438","한국말 [한궁말]","tiếng Hàn"
"439","인사하다","chào hỏi"
"440","회사님","CEO"
"441","자장님","giám đốc"
"442","부장님","trưởng phòng"
"443","이쪽","đây là"
"444","동아리","câu lạc bộ"
"445","같은과","khoa"
"446","영사","lịch sử"
"447","분","vị (kính ngữ 사람)"
"448","살","tuổi"
"449","사람","người"
"450","분","người (kính ngữ)"
"451","이름","tên"
"452","성함","quý danh"
"453","나이","tuổi"
"454","연세","tuổi (kính ngữ)"
"455","있다","có"
"456","계시다","hiện diện (kính ngữ)"
"457","먹다","ăn"
"458","마시다","uống"
"459","드시다","dùng/thưởng thức (kính ngữ)"
"460","자다","ngủ"
"461","주무시다","nghỉ ngơi (kính ngữ)"
"462","집","nhà"
"463","댁","nhà (kính ngữ)"
"464","친절하다","thân thiện"
"465","많다","có nhiều"
"466","멋있다","cool ngầu"
"467","사장님","giám đốc/chủ quán ăn"
"468","전에","trước đây"
"469","부모님","bố mẹ (phụ mẫu)"
"470","미인","đẹp gái"
"471","되다","trở nên/trở thành"
"472","신문사","tòa soạn báo"
"473","중학교","trường trung học"
"474","개발자","Developer"
"475","웃다","cười"
"476","가르치다","dạy học"
"477","취미","sở thích"
"478","아기","em bé"
"479","태어나다","sinh ra"
"480","다른","khác"
"481","강의","diễn thuyết"
"482","의사선생님","bác sĩ"
"483","하나","1 (Thuần Hàn)"
"484","둘","2 (Thuần Hàn)"
"485","셧","3 (Thuần Hàn)"
"486","녓","4 (Thuần Hàn)"
"487","다섯","5 (Thuần Hàn)"
"488","여섯","6 (Thuần Hàn)"
"489","일곱","7 (Thuần Hàn)"
"490","여덟","8 (Thuần Hàn)"
"491","아홉","9 (Thuần Hàn)"
"492","열","10 (Thuần Hàn)"
"493","스물","20 (Thuần Hàn)"
"494","서른","30 (Thuần Hàn)"
"495","마흔","40 (Thuần Hàn)"
"496","쉰","50 (Thuần Hàn)"
"497","예순","60 (Thuần Hàn)"
"498","일흔","70 (Thuần Hàn)"
"499","여든","80 (Thuần Hàn)"
"500","아흔","90 (Thuần Hàn)"
"501","백","100"
"502","쯤","Khoảng (số giờ + 쯤)"
"503","일어나다","Thức dậy"
"504","버스를 기다리다","Đợi xe bus"
"505","운전하다","Lái xe"
"506","세수하다","Rửa mặt"
"507","청소하다","Dọn dẹp"
"508","회의하다","Họp"
"509","요리하다","Nấu ăn"
"510","빨래하다","Giặt giũ"
"511","전화하다","Gọi điện thoại"
"512","컴퓨터를 하다","Làm việc máy tính"
"513","샤워하다","Tắm"
"514","버스를 타다","Đi xe bus"
"515","나이가 없어요","Không có tuổi"
"516","강의","Diễn thuyết + 하다"
"517","의사 선생님","Bác sĩ (gọi)"
"518","새벽","Sáng sớm"
"519","아침","Buổi sáng / bữa sáng (khung giờ)"
"520","점심","Buổi trưa / bữa trưa"
"521","저녁","Buổi tối / bữa tối"
"522","오전","Buổi sáng (A.M)"
"523","오후","Buổi chiều (P.M)"
"524","낮","Ban ngày"
"525","밤","Ban đêm"
"526","시","Giờ (Thuần Hàn)"
"527","분","Phút (Hán Hàn)"
"528","반","Giờ rưỡi"
"529","반학","Kỳ nghỉ"
"530","T1부터 T2까지","Từ T1 đến T2"
"531","시험을 보다","Thi"
"532","수업을 하다","Học thoe tiết"
"533","그리다","Vẽ tranh"
"534","조금 전","Một lúc trước"
"535","조금 후","Một lúc sau"
"536","주말 잘 보내요","Cuối tuần vui vẻ"
"537","데이트하다","Hẹn hò"
"538","박물관","Viện bảo tàng"
"539","연습(하다)","Luyện tập"
"540","다시","lại (lặp lại)"